anio,sector_economico_1,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,sector
2026,8,1,2663797,2663605,1918915545.7482572,2437337,0,"Servicios para Empresas, Personas y el Hogar"
2026,1,2,16741,16740,18101639.47999999,14402,0,Industrias Extractivas
2026,4,1,1458647,1458628,736113732.749991,901786,0,Industria de la Construcción
2026,6,1,2764191,2763544,1752116526.0297892,2541365,0,Comercio
2026,,1,0,0,0.0,0,3940680,
2026,1,1,113426,113426,126845652.74000028,96202,0,Industrias Extractivas
2026,9,1,1018254,1017456,833245124.0399896,928361,0,Servicios Sociales y Comunales
2026,,3,0,0,0.0,0,55,
2026,0,2,181003,160713,75891242.71000037,127307,0,"Agricultura, Ganadería, Silvicultura, Pesca y Caza"
2026,8,3,41,41,29422.61,37,0,"Servicios para Empresas, Personas y el Hogar"
2026,,2,0,0,0.0,0,4157254,
2026,8,2,2264034,2263858,1433182610.9071517,2087929,0,"Servicios para Empresas, Personas y el Hogar"
2026,6,3,15,15,7156.62,11,0,Comercio
2026,6,2,2141890,2141283,1193433659.5998633,1976740,0,Comercio
2026,9,2,1457412,1456973,1077411622.5199797,1332391,0,Servicios Sociales y Comunales
2026,4,3,3,3,1511.7,2,0,Industria de la Construcción
2026,9,3,8,8,5914.07,7,0,Servicios Sociales y Comunales
2026,7,3,2,2,2012.42,2,0,Transportes y Comunicaciones
