anio,cve_entidad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2022,13,1,161955,161796,69284336.2199976,124859,87695,Hidalgo
2022,23,2,172146,171561,70162524.22999893,126230,43668,Quintana Roo
2022,26,2,260528,260047,102546980.48999637,234772,103177,Sonora
2022,21,1,387087,384606,171838050.9500157,334962,207289,Puebla
2022,32,2,73320,73235,28251842.6299991,64042,44270,Zacatecas
2022,25,1,341013,337956,128916750.14000142,287490,142479,Sinaloa
2022,8,2,406906,406021,172407958.84999567,379635,94292,Chihuahua
2022,1,2,134804,134533,54962925.23999846,125561,55525,Aguascalientes
2022,20,1,131475,129182,51060222.18999846,110881,67918,Oaxaca
2022,30,1,456476,438869,207247375.2400275,372276,218161,Veracruz de Ignacio de la Llave
2022,3,2,75060,74937,32697288.09999908,56238,26923,Baja California Sur
2022,17,1,123716,121336,55119876.13999827,105574,47981,Morelos
2022,8,1,561524,557469,291741606.34000015,511082,86322,Chihuahua
2022,22,1,399664,399164,223980922.1700078,324398,68287,Querétaro
2022,29,2,43708,43652,15456588.06999981,34479,38339,Tlaxcala
2022,4,2,42405,42241,18329525.339999724,37230,31593,Campeche
2022,31,2,147252,147207,56384341.46999755,136367,50354,Yucatán
2022,14,1,1138325,1128134,567189098.9900275,979460,250707,Jalisco
2022,4,1,92112,91453,54394532.20999911,70570,31602,Campeche
2022,6,1,87368,86176,39535428.72999911,69870,23306,Colima
2022,7,1,149629,146451,60115314.529997885,127393,107253,Chiapas
2022,29,1,66712,66625,27151321.819999386,52317,37724,Tlaxcala
2022,11,1,640618,640082,284423555.2000156,559154,129468,Guanajuato
2022,16,1,280109,275835,114524314.27999347,229240,109418,Michoacán de Ocampo
2022,21,2,238433,237298,88334857.52999718,211713,224699,Puebla
2022,5,1,525997,525487,275638559.1400286,466464,70940,Coahuila de Zaragoza
2022,3,1,134021,133768,63427445.88999878,89972,27272,Baja California Sur
2022,16,2,185189,183141,65637124.06999719,157838,120525,Michoacán de Ocampo
2022,31,1,258654,257874,104995973.18001701,221374,53517,Yucatán
2022,2,1,595853,594736,331643659.7500032,531686,77737,Baja California
2022,13,2,95133,95032,33844274.48999865,82339,92518,Hidalgo
2022,15,2,656284,655957,264740336.08999217,564210,420711,Estado México
2022,9,2,1431124,1428964,824287351.2100233,1281180,912525,Ciudad de México
2022,28,2,276615,275749,120413432.26999879,256619,70528,Tamaulipas
2022,12,2,59298,58594,20911217.80999977,51073,84960,Guerrero
2022,12,1,92915,91885,38104138.10999897,74124,76638,Guerrero
2022,24,2,181849,179868,80354795.31999852,153067,68075,San Luis Potosí
