anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,28,W22,1172,1172,2029889.9499999995,1111,0,Tamaulipas
2018,28,W24,1052,1052,1990020.9999999993,984,0,Tamaulipas
2018,13,W9,4315,4315,2943379.589999998,3222,0,Hidalgo
2018,13,W13,1393,1393,1399751.1699999997,1160,0,Hidalgo
2018,13,W19,557,557,829268.5000000002,492,0,Hidalgo
2018,13,W21,309,309,510111.7200000002,275,0,Hidalgo
2018,4,W25,3416,3416,6872625.12,2882,0,Campeche
2018,4,W11,1720,1720,1453406.67,1271,0,Campeche
2018,4,W18,753,753,1064315.3399999992,625,0,Campeche
2018,5,W9,18602,18602,12691755.679999977,16308,0,Coahuila de Zaragoza
2018,22,W1,300,300,26491.600000000042,260,0,Querétaro
2018,32,W2,66111,66111,7654466.719999699,56974,0,Zacatecas
2018,32,W7,8819,8819,4620489.059999993,7393,0,Zacatecas
2018,6,W25,843,843,1694748.24,753,0,Colima
2018,6,W22,168,168,290805.41,139,0,Colima
2018,27,W2,75915,75915,8568192.869999325,65575,0,Tabasco
2018,27,W7,4984,4984,2605330.3999999953,4051,0,Tabasco
2018,27,W1,59,59,5201.559999999996,33,0,Tabasco
2018,27,W23,226,226,409493.3899999999,208,0,Tabasco
2018,7,W15,988,988,1157373.43,909,0,Chiapas
2018,7,W7,7848,7848,4100312.259999993,6930,0,Chiapas
2018,18,,5482,0,0.0,5482,78457,Nayarit
2018,29,W2,36453,36453,4253346.810000093,27625,0,Tlaxcala
2018,29,W4,13507,13507,3746634.330000009,9616,0,Tlaxcala
2018,29,W5,7292,7292,2617194.3200000003,5742,0,Tlaxcala
2018,29,W15,449,449,525562.5200000001,405,0,Tlaxcala
2018,1,W20,627,627,983783.7999999996,597,0,Aguascalientes
2018,1,W18,1118,1118,1574024.7300000004,1061,0,Aguascalientes
2018,2,W8,22220,22220,13422995.230000027,20225,0,Baja California
2018,2,W19,2825,2825,4213135.090000002,2601,0,Baja California
2018,2,W23,1823,1823,3304277.4700000016,1744,0,Baja California
2018,11,W12,8192,8192,7581954.74,7200,0,Guanajuato
2018,12,W2,75892,75892,8539447.98999991,62680,0,Guerrero
2018,12,W13,1047,1047,1053572.3299999996,806,0,Guerrero
2018,14,W17,7694,7694,10222854.729999993,7079,0,Jalisco
2018,16,W6,25946,25946,11582642.310000004,22583,0,Michoacán de Ocampo
2018,17,W12,2386,2386,2210061.719999998,2117,0,Morelos
2018,19,W19,6272,6272,9341676.370000001,5917,0,Nuevo León
2018,19,W6,101376,101376,44643625.980000146,90582,0,Nuevo León
2018,19,W20,5235,5235,8221248.55,4910,0,Nuevo León
2018,20,W8,5851,5851,3538717.110000004,5077,0,Oaxaca
2018,20,W18,526,526,741427.6299999995,504,0,Oaxaca
2018,21,W3,113273,113273,22442746.720000174,88248,0,Puebla
2018,21,W4,62104,62104,17316093.099999957,50938,0,Puebla
2018,24,W11,4977,4977,4211787.849999998,4143,0,San Luis Potosí
2018,30,W16,4675,4675,5838833.1499999985,4403,0,Veracruz de Ignacio de la Llave
2018,31,W4,28125,28125,7831299.12,24065,0,Yucatán
2018,31,W16,1079,1079,1354417.96,1013,0,Yucatán
2018,31,W25,2425,2425,4876312.91,2354,0,Yucatán
2018,9,W9,86445,86445,59129267.640000075,75992,0,Ciudad de México
2018,9,W1,1503,1503,132232.7200000003,1256,0,Ciudad de México
2018,26,,2531,0,0.0,2531,184098,Sonora
2018,26,W3,133963,133963,26464872.929999873,113162,0,Sonora
2018,26,W1,428,428,37276.91,350,0,Sonora
2018,26,W25,5896,5896,11860442.09,5529,0,Sonora
2018,26,W10,7678,7678,5861266.270000001,6688,0,Sonora
2018,26,W5,37770,37770,13580943.529999983,32181,0,Sonora
2018,15,W22,3161,3161,5477439.500000002,2846,0,Estado México
2018,28,W11,7437,7437,6283660.029999995,6577,0,Tamaulipas
2018,28,W14,4156,4156,4518515.240000001,3798,0,Tamaulipas
2018,28,W20,1509,1509,2370636.709999999,1427,0,Tamaulipas
2018,5,W3,166268,166268,33378377.189999875,146839,0,Coahuila de Zaragoza
2018,3,W15,883,883,1031110.8899999994,690,0,Baja California Sur
2018,3,W14,1074,1074,1166095.2799999989,837,0,Baja California Sur
2018,13,W25,1895,1895,3810769.74,1730,0,Hidalgo
2018,5,W7,36827,36827,19235579.10999997,32553,0,Coahuila de Zaragoza
2018,3,W19,488,488,726910.3399999999,395,0,Baja California Sur
2018,4,W20,461,461,724056.7100000002,383,0,Campeche
2018,4,W17,787,787,1047462.8600000006,622,0,Campeche
2018,5,W5,66869,66869,24063287.370000113,58376,0,Coahuila de Zaragoza
2018,5,W14,5578,5578,6058487.0399999935,4873,0,Coahuila de Zaragoza
2018,5,W13,6907,6907,6954881.07,6049,0,Coahuila de Zaragoza
2018,5,W22,1504,1504,2606057.9799999995,1415,0,Coahuila de Zaragoza
2018,22,W2,170143,170143,20058038.559999634,140876,0,Querétaro
2018,23,W13,2033,2033,2046210.7099999983,1535,0,Quintana Roo
2018,23,W14,1634,1634,1774205.000000003,1216,0,Quintana Roo
2018,23,W25,3725,3725,7495577.150000002,3005,0,Quintana Roo
2018,23,W7,11646,11646,6073714.7699999735,7962,0,Quintana Roo
2018,23,W8,8629,8629,5206688.800000008,6050,0,Quintana Roo
2018,23,W24,458,458,866046.0499999999,380,0,Quintana Roo
2018,6,W6,5693,5693,2512648.48,4214,0,Colima
2018,6,W10,1775,1775,1357016.3300000005,1401,0,Colima
2018,6,W9,2191,2191,1499225.1600000008,1744,0,Colima
2018,6,W18,416,416,586930.41,373,0,Colima
2018,6,W19,348,348,518293.9100000002,312,0,Colima
2018,27,,3794,0,0.0,3794,155045,Tabasco
2018,27,W3,29814,29814,5877344.940000017,23967,0,Tabasco
2018,27,W22,253,253,438398.5499999999,234,0,Tabasco
2018,7,W13,1662,1662,1674696.3099999987,1523,0,Chiapas
2018,7,W25,1268,1268,2549869.9700000007,1226,0,Chiapas
2018,8,W12,8505,8505,7871055.729999999,7885,0,Chihuahua
2018,8,W10,13104,13104,10008283.920000006,12047,0,Chihuahua
2018,8,W11,10522,10522,8890232.950000005,9686,0,Chihuahua
2018,8,W21,2117,2117,3495973.8599999994,2032,0,Chihuahua
2018,18,W5,8709,8709,3135605.9699999974,5882,0,Nayarit
2018,18,W17,357,357,474719.2999999999,315,0,Nayarit
2018,10,W24,243,243,459254.97999999986,236,0,Durango
2018,10,W23,242,242,438957.2600000001,236,0,Durango
2018,10,W22,308,308,533892.3399999999,289,0,Durango
2018,29,W23,100,100,181522.50000000003,95,0,Tlaxcala
2018,25,,5776,0,0.0,5776,284554,Sinaloa
2018,1,W2,114056,114056,12766748.019998983,103119,0,Aguascalientes
2018,1,W3,59359,59359,11746207.410000017,53649,0,Aguascalientes
2018,2,W4,127980,127980,35556221.13000011,119731,0,Baja California
2018,2,W5,69852,69852,25042351.66000006,64239,0,Baja California
