anio,cve_entidad,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,14,W1,2503,2503,210903.6900000002,2395,0,Jalisco
2018,15,,1129,0,0.0,1129,735321,Estado México
2018,15,W19,3834,3834,6261084.949999998,3479,0,Estado México
2018,19,W5,133556,133556,52845161.62999995,118732,0,Nuevo León
2018,19,W21,4053,4053,7344969.2299999995,3872,0,Nuevo León
2018,19,W1,328,328,28925.03000000001,264,0,Nuevo León
2018,5,W2,274661,274661,33541711.059999067,242471,0,Coahuila de Zaragoza
2018,5,W3,168879,168879,36683356.25999979,149225,0,Coahuila de Zaragoza
2018,22,W21,1563,1563,2831580.6199999987,1415,0,Querétaro
2018,23,W12,2214,2214,2247277.5200000005,1672,0,Quintana Roo
2018,23,W14,1386,1386,1649339.6100000006,1059,0,Quintana Roo
2018,23,W8,7913,7913,5222191.779999999,5532,0,Quintana Roo
2018,23,W21,440,440,797098.3100000002,354,0,Quintana Roo
2018,24,W2,149716,149716,17969722.60999889,117611,0,San Luis Potosí
2018,24,W21,919,919,1665564.5700000026,838,0,San Luis Potosí
2018,9,W7,128162,128162,73257895.82999997,111094,0,Ciudad de México
2018,9,W4,334590,334590,102815636.79000066,278976,0,Ciudad de México
2018,26,W17,1826,1826,2657646.9099999997,1627,0,Sonora
2018,26,W8,13289,13289,8751080.390000002,11438,0,Sonora
2018,11,W10,11733,11733,9826766.440000001,10308,0,Guanajuato
2018,11,W19,1815,1815,2965048.520000001,1656,0,Guanajuato
2018,12,W18,343,343,528862.0700000001,319,0,Guerrero
2018,16,W18,739,739,1144784.7599999995,648,0,Michoacán de Ocampo
2018,17,W4,20959,20959,6424731.519999993,17725,0,Morelos
2018,17,W10,3433,3433,2879507.26,3078,0,Morelos
2018,17,W18,640,640,988735.0199999999,601,0,Morelos
2018,3,W1,161,161,14172.839999999995,152,0,Baja California Sur
2018,3,W6,6993,6993,3391782.6300000087,5000,0,Baja California Sur
2018,10,W17,682,682,991803.5699999995,644,0,Durango
2018,10,W11,2029,2029,1878545.5799999998,1815,0,Durango
2018,31,W8,5982,5982,3958421.189999999,5498,0,Yucatán
2018,31,W12,1888,1888,1916671.52,1744,0,Yucatán
2018,31,W11,1998,1998,1851371.6199999994,1826,0,Yucatán
2018,31,W16,1043,1043,1425903.6099999999,1007,0,Yucatán
2018,3,W19,535,535,873065.7800000004,476,0,Baja California Sur
2018,4,W5,8458,8458,3347593.94,6924,0,Campeche
2018,4,W11,1410,1410,1306982.799999999,1003,0,Campeche
2018,5,W18,2284,2284,3530792.530000001,2108,0,Coahuila de Zaragoza
2018,5,W20,1704,1704,2934678.3800000004,1608,0,Coahuila de Zaragoza
2018,21,W15,3204,3204,4103360.130000002,2934,0,Puebla
2018,21,W17,2143,2143,3116126.8899999997,1907,0,Puebla
2018,21,W2,290852,290852,34158869.04999726,251265,0,Puebla
2018,21,W5,37449,37449,14859211.209999979,31428,0,Puebla
2018,21,W9,9330,9330,6979118.9199999925,7845,0,Puebla
2018,25,W8,8958,8958,5895532.21,7997,0,Sinaloa
2018,30,W12,8327,8327,8432565.190000005,7560,0,Veracruz de Ignacio de la Llave
2018,30,W7,28396,28396,16165102.14000002,23206,0,Veracruz de Ignacio de la Llave
2018,30,W13,6725,6725,7421336.63,6139,0,Veracruz de Ignacio de la Llave
2018,6,W17,424,424,617900.9800000002,387,0,Colima
2018,27,W10,1986,1986,1664506.4300000004,1672,0,Tabasco
2018,27,W12,1224,1224,1241547.8299999998,985,0,Tabasco
2018,27,W18,461,461,712206.2599999998,431,0,Tabasco
2018,27,W21,251,251,454264.6299999999,228,0,Tabasco
2018,28,W13,4320,4320,4764198.409999997,3946,0,Tamaulipas
2018,7,W3,33909,33909,7313713.17999994,29334,0,Chiapas
2018,7,W13,1544,1544,1699968.42,1392,0,Chiapas
2018,8,W3,238356,238356,51457044.33,216801,0,Chihuahua
2018,8,W9,15129,15129,11330178.550000003,13854,0,Chihuahua
2018,8,W21,1505,1505,2726816.349999999,1448,0,Chihuahua
2018,29,W6,4656,4656,2239265.319999998,3968,0,Tlaxcala
2018,29,W16,386,386,528846.8500000009,365,0,Tlaxcala
2018,29,W18,183,183,282813.21,171,0,Tlaxcala
2018,20,W9,4114,4114,3072073.739999993,3680,0,Oaxaca
2018,20,W11,1850,1850,1715960.7799999998,1575,0,Oaxaca
2018,1,,1281,0,0.0,1281,90091,Aguascalientes
2018,2,W14,4684,4684,5578744.840000002,4390,0,Baja California
2018,2,W18,3311,3311,5121992.230000004,3081,0,Baja California
2018,13,W7,9943,9943,5668842.119999986,6723,0,Hidalgo
2018,13,W12,1496,1496,1517971.1900000009,1235,0,Hidalgo
2018,13,W17,699,699,1018310.5299999998,618,0,Hidalgo
2018,15,W6,82909,82909,40151579.349999845,69851,0,Estado México
2018,15,W10,21987,21987,18450210.71000001,18975,0,Estado México
2018,19,W16,9145,9145,12513927.739999995,8577,0,Nuevo León
