entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Campeche,2006,4,False,30.41914107,-3.886565000000001
Campeche,2007,1,False,12.388787,12.388787
Campeche,2007,2,False,73.090144,60.701356999999994
Campeche,2007,3,False,151.326491,78.23634700000001
Campeche,2007,4,False,134.523132,-16.803359
Campeche,2008,1,False,13.404481,13.404481
Campeche,2008,2,False,134.3601765,120.95569549999999
Campeche,2008,3,False,135.7199115,1.3597350000000006
Campeche,2008,4,False,150.0526385,14.332727000000006
Campeche,2009,1,False,-7.86100511,-7.86100511
Campeche,2009,2,False,20.30815408,28.169159190000002
Campeche,2009,3,False,26.66703008,6.358875999999999
Campeche,2009,4,False,26.16739962,-0.4996304599999988
Campeche,2010,1,False,70.39198,70.39198
Campeche,2010,2,False,65.880408,-4.511572000000001
Campeche,2010,3,False,75.53501203,9.654604030000002
Campeche,2010,4,False,73.20354795,-2.3314640800000035
Campeche,2011,1,False,5.176892,5.176892
Campeche,2011,2,False,39.67697819,34.50008619
Campeche,2011,3,False,-0.33299181,-40.00997
Campeche,2011,4,False,24.79756059,25.1305524
Campeche,2012,1,False,-41.96565863,-41.96565863
Campeche,2012,2,False,-53.44896463,-11.483305999999999
Campeche,2012,3,False,196.02102887,249.46999350000002
Campeche,2012,4,False,209.66831487,13.64728599999998
Campeche,2013,1,False,69.88814553,69.88814553
Campeche,2013,2,False,211.78789202,141.89974648999998
Campeche,2013,3,False,239.41172892,27.623836900000015
Campeche,2013,4,False,278.41695673,39.00522780999998
Campeche,2014,1,False,37.76407568,37.76407568
Campeche,2014,2,False,83.78560443,46.02152875000001
Campeche,2014,3,False,173.60709678,89.82149235
Campeche,2014,4,False,218.57427562,44.96717884
Campeche,2015,1,False,125.87975258,125.87975258
Campeche,2015,2,False,194.9137506,69.03399801999998
Campeche,2015,3,False,480.73412726,285.82037665999997
Campeche,2015,4,False,543.00715563,62.27302837000008
Campeche,2016,1,False,63.73368269,63.73368269
Campeche,2016,2,False,97.3653147,33.63163201
Campeche,2016,3,False,143.00400657,45.63869187
Campeche,2016,4,False,142.1679444,-0.8360621699999911
Campeche,2017,1,False,102.28736866,102.28736866
Campeche,2017,2,False,145.90833462,43.62096596000001
Campeche,2017,3,False,265.10192586,119.19359123999999
Campeche,2017,4,False,328.34599643,63.24407057000002
Campeche,2018,1,False,18.06767979,18.06767979
Campeche,2018,2,False,71.95789578,53.89021599
Campeche,2018,3,False,43.78564951,-28.172246270000002
Campeche,2018,4,False,123.49400731,79.7083578
Campeche,2019,1,False,46.87904202,46.87904202
Campeche,2019,2,False,81.46858343,34.589541409999995
Campeche,2019,3,False,141.47158852,60.003005090000016
Campeche,2019,4,False,151.8657313,10.394142779999981
Campeche,2020,1,False,74.68370902,74.68370902
Campeche,2020,2,False,112.05293915,37.369230130000005
Campeche,2020,3,False,188.56737225,76.5144331
Campeche,2020,4,False,199.06346197,10.496089719999986
Campeche,2021,1,False,48.82257047,48.82257047
Campeche,2021,2,False,127.07921793,78.25664746
Campeche,2021,3,False,207.81045557,80.73123763999999
Campeche,2021,4,False,218.41807374,10.607618170000023
Campeche,2022,1,False,131.73476467,131.73476467
Campeche,2022,2,False,137.77350036,6.03873569000001
Campeche,2022,3,False,82.25918606,-55.51431430000001
Campeche,2022,4,False,40.2438723,-42.015313760000005
Campeche,2023,1,False,17.15067713,17.15067713
Campeche,2023,2,False,-14.75155621,-31.90223334
Campeche,2023,3,False,46.32041866,61.071974870000005
Campeche,2023,4,False,98.61266235,52.29224368999999
Campeche,2024,1,False,47.14096585,47.14096585
Campeche,2024,2,False,126.88711562,79.74614977
