entidad_federativa,tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Baja California Sur,Cuentas entre compañías,2013,3,False,7.47896761,5.648244269999999
Baja California Sur,Cuentas entre compañías,2013,4,False,-579.22254439,-586.7015120000001
Baja California Sur,Cuentas entre compañías,2014,1,False,-7.81983124,-7.81983124
Baja California Sur,Cuentas entre compañías,2014,2,False,-7.90140692,-0.08157568000000026
Baja California Sur,Cuentas entre compañías,2014,3,False,-7.31896772,0.5824392000000005
Baja California Sur,Cuentas entre compañías,2014,4,False,-3.12012489,4.19884283
Baja California Sur,Cuentas entre compañías,2015,1,False,8.00615465,8.00615465
Baja California Sur,Cuentas entre compañías,2015,2,False,-17.8177246,-25.823879249999997
Baja California Sur,Cuentas entre compañías,2015,3,False,77.60108491,95.41880950999999
Baja California Sur,Cuentas entre compañías,2015,4,False,84.96888311,7.367798199999996
Baja California Sur,Cuentas entre compañías,2016,1,False,178.91723544,178.91723544
Baja California Sur,Cuentas entre compañías,2016,2,False,222.75627191,43.839036469999996
Baja California Sur,Cuentas entre compañías,2016,3,False,258.2819879,35.52571598999998
Baja California Sur,Cuentas entre compañías,2016,4,False,274.94113393,16.659146029999988
Baja California Sur,Cuentas entre compañías,2017,1,False,-8.1221786,-8.1221786
Baja California Sur,Cuentas entre compañías,2017,2,False,1.86049885,9.98267745
Baja California Sur,Cuentas entre compañías,2017,3,False,22.39669182,20.536192970000002
Baja California Sur,Cuentas entre compañías,2017,4,False,62.27486599,39.87817417
Baja California Sur,Cuentas entre compañías,2018,1,False,-4.69833513,-4.69833513
Baja California Sur,Cuentas entre compañías,2018,2,False,33.12983744,37.82817257000001
Baja California Sur,Cuentas entre compañías,2018,3,False,19.28144238,-13.848395060000001
Baja California Sur,Cuentas entre compañías,2018,4,False,6.53111004,-12.750332340000002
Baja California Sur,Cuentas entre compañías,2019,1,False,-6.86632128,-6.86632128
Baja California Sur,Cuentas entre compañías,2019,2,False,-8.16779051,-1.3014692299999995
Baja California Sur,Cuentas entre compañías,2019,3,False,18.3384211,26.50621161
Baja California Sur,Cuentas entre compañías,2019,4,False,16.65731569,-1.6811054100000007
