entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Coahuila,2018,3,False,2450.506782,1344.5799439999998
Coahuila,2018,4,False,2737.849856,287.3430739999999
Coahuila,2019,1,False,145.3410388,145.3410388
Coahuila,2019,2,False,721.1146405,575.7736017
Coahuila,2019,3,False,753.2183828,32.10374230000002
Coahuila,2019,4,False,1339.426176,586.2077932
Coahuila,2020,1,False,165.9777797,165.9777797
Coahuila,2020,2,False,623.7258173,457.7480376
Coahuila,2020,3,False,702.5780436,78.85222629999998
Coahuila,2020,4,False,1091.600609,389.0225654000001
Coahuila,2021,1,False,365.0299139,365.0299139
Coahuila,2021,2,False,963.2731688,598.2432549
Coahuila,2021,3,False,1086.096191,122.82302220000008
Coahuila,2021,4,False,1043.379329,-42.71686199999999
Coahuila,2022,1,False,259.3634659,259.3634659
Coahuila,2022,2,False,569.2580024,309.8945365
Coahuila,2022,3,False,727.4095337,158.1515313
Coahuila,2022,4,False,792.4446391,65.03510540000002
Coahuila,2023,1,False,321.7860505,321.7860505
Coahuila,2023,2,False,1189.487023,867.7009724999999
Coahuila,2023,3,False,665.5107306,-523.9762923999999
Coahuila,2023,4,False,921.4388905,255.92815989999997
Coahuila,2024,1,False,6.2494393,6.2494393
Coahuila,2024,2,False,391.9986958,385.7492565
Coahuila,2024,3,False,481.4815191,89.4828233
Coahuila,2024,4,False,396.7401992,-84.74131990000001
Coahuila,2025,1,False,538.4001421,538.4001421
Coahuila,2025,2,False,845.1152007,306.7150585999999
Coahuila,2025,3,False,1176.869732,331.75453130000017
Coahuila,2025,4,False,1306.668158,129.79842599999984
Coahuila,2026,1,False,449.8695068,449.8695068
Colima,2018,1,False,39.77122515,39.77122515
Colima,2018,2,False,57.53247466,17.76124951
Colima,2018,3,False,59.13244331,1.599968650000001
Colima,2018,4,False,97.47287001,38.340426699999995
Colima,2019,1,False,26.43907199,26.43907199
Colima,2019,2,False,46.56534228,20.126270290000004
Colima,2019,3,False,51.3570965,4.791754219999994
Colima,2019,4,False,49.94177187,-1.4153246300000006
Colima,2020,1,False,52.42748562,52.42748562
Colima,2020,2,False,78.32186789,25.894382269999994
Colima,2020,3,False,105.8344896,27.512621710000005
Colima,2020,4,False,97.59920535,-8.235284249999992
Colima,2021,1,False,28.55599185,28.55599185
Colima,2021,2,False,25.88981908,-2.666172770000003
Colima,2021,3,False,19.84232,-6.047499079999998
Colima,2021,4,False,45.12106686,25.27874686
Colima,2022,1,False,56.06087744,56.06087744
Colima,2022,2,False,38.91995747,-17.14091997
Colima,2022,3,False,71.71220318,32.79224571
Colima,2022,4,False,96.85599832,25.143795139999995
Colima,2023,1,False,12.83529225,12.83529225
Colima,2023,2,False,30.35146856,17.51617631
Colima,2023,3,False,43.2148259,12.86335734
Colima,2023,4,False,56.80513759,13.59031169
Colima,2024,1,False,65.19356865,65.19356865
Colima,2024,2,False,245.3739839,180.18041525
Colima,2024,3,False,261.3715309,15.997546999999969
Colima,2024,4,False,260.9788092,-0.3927216999999814
Colima,2025,1,False,3.93887043,3.93887043
Colima,2025,2,False,275.0890428,271.15017237
Colima,2025,3,False,254.6309722,-20.458070600000013
Colima,2025,4,False,252.940895,-1.6900771999999904
Colima,2026,1,False,82.22430183,82.22430183
Durango,2018,1,False,74.42970517,74.42970517
Durango,2018,2,False,118.7330445,44.30333933
Durango,2018,3,False,73.18603487,-45.547009630000005
Durango,2018,4,False,170.3917413,97.20570643
Durango,2019,1,False,176.3794408,176.3794408
Durango,2019,2,False,168.4559474,-7.923493399999984
Durango,2019,3,False,229.8004807,61.344533299999995
Durango,2019,4,False,174.6135199,-55.18696080000001
Durango,2020,1,False,252.7459967,252.7459967
Durango,2020,2,False,512.0703988,259.32440210000004
Durango,2020,3,False,762.851741,250.78134219999993
Durango,2020,4,False,543.8784591,-218.97328189999996
Durango,2021,1,False,300.8743822,300.8743822
Durango,2021,2,False,412.0404774,111.16609519999997
Durango,2021,3,False,332.6093506,-79.43112679999996
Durango,2021,4,False,532.4734992,199.86414859999996
Durango,2022,1,False,97.12450622,97.12450622
Durango,2022,2,False,226.6047223,129.48021608
Durango,2022,3,False,320.8475806,94.24285830000002
Durango,2022,4,False,565.5418218,244.69424119999996
Durango,2023,1,False,54.22072015,54.22072015
Durango,2023,2,False,320.8765692,266.65584905000003
Durango,2023,3,False,291.6312507,-29.245318499999996
Durango,2023,4,False,377.8293061,86.19805539999999
Durango,2024,1,False,106.7115066,106.7115066
Durango,2024,2,False,134.9151989,28.2036923
Durango,2024,3,False,226.3837658,91.46856689999998
Durango,2024,4,False,230.1726851,3.7889193000000034
Durango,2025,1,False,-13.89017801,-13.89017801
