pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Argentina,2020,3,False,125.3298074,229.2164274
Argentina,2020,4,False,610.3797665,485.04995909999997
Argentina,2021,1,False,178.2915889,178.2915889
Argentina,2021,2,False,271.9187965,93.62720759999999
Argentina,2021,3,False,278.1887181,6.269921600000032
Argentina,2021,4,False,309.4460327,31.257314599999972
Argentina,2022,1,False,617.921356,617.921356
Argentina,2022,2,False,1612.559488,994.6381320000002
Argentina,2022,3,False,1579.524776,-33.03471200000013
Argentina,2022,4,False,2315.936752,736.4119760000001
Argentina,2023,1,False,1739.583594,1739.583594
Argentina,2023,2,False,2231.850661,492.267067
Argentina,2023,3,False,2454.407174,222.556513
Argentina,2023,4,False,2248.388868,-206.01830599999994
Argentina,2024,1,False,840.4716865,840.4716865
Argentina,2024,2,False,909.4629585,68.99127199999998
Argentina,2024,3,False,1009.87945,100.4164915
Argentina,2024,4,False,1064.048559,54.16910900000005
Argentina,2025,1,False,202.9308804,202.9308804
Argentina,2025,2,False,626.6323415,423.7014611000001
Argentina,2025,3,False,646.4160245,19.783682999999996
Argentina,2025,4,False,787.4654197,141.04939519999994
Argentina,2026,1,False,211.1498809,211.1498809
Armenia,2018,1,False,0.0,0.0
Armenia,2018,2,False,0.0,0.0
Armenia,2018,3,False,0.0,0.0
Armenia,2018,4,False,0.0,0.0
Armenia,2019,1,False,0.0,0.0
Armenia,2019,2,False,0.0,0.0
Armenia,2019,3,False,0.0,0.0
Armenia,2019,4,False,0.0,0.0
Armenia,2020,1,False,0.0,0.0
Armenia,2020,2,False,0.0,0.0
Armenia,2020,3,False,0.0,0.0
Armenia,2020,4,False,0.0,0.0
Armenia,2021,1,False,0.0,0.0
Armenia,2021,2,False,0.0,0.0
Armenia,2021,3,False,0.0,0.0
Armenia,2021,4,False,0.0,0.0
Armenia,2022,1,False,0.0,0.0
Armenia,2022,2,False,0.0,0.0
Armenia,2022,3,False,0.0,0.0
Armenia,2022,4,False,0.0,0.0
Armenia,2023,1,False,0.0,0.0
Armenia,2023,2,False,0.0,0.0
Armenia,2023,3,False,0.0,0.0
Armenia,2023,4,False,0.0,0.0
Armenia,2024,1,False,0.0,0.0
Armenia,2024,2,False,0.0,0.0
Armenia,2024,3,False,0.0,0.0
