tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Nuevas inversiones,2022,2,False,12607.75840819,3766.81388333
Nuevas inversiones,2022,3,False,15308.11846851,2700.3600603199993
Nuevas inversiones,2022,4,False,18190.67732842,2882.5588599099992
Nuevas inversiones,2023,1,False,1654.88533913,1654.88533913
Nuevas inversiones,2023,2,False,3041.58808374,1386.70274461
Nuevas inversiones,2023,3,False,3861.20948026,819.62139652
Nuevas inversiones,2023,4,False,5286.10366898,1424.8941887200003
Nuevas inversiones,2024,1,False,899.68777181,899.68777181
Nuevas inversiones,2024,2,False,1901.10153867,1001.4137668600001
Nuevas inversiones,2024,3,False,2774.47655715,873.3750184800001
Nuevas inversiones,2024,4,False,4114.20536655,1339.7288093999996
Nuevas inversiones,2025,1,False,2323.63368374,2323.63368374
Nuevas inversiones,2025,2,False,3810.72031028,1487.08662654
Nuevas inversiones,2025,3,False,7251.75092925,3441.03061897
Nuevas inversiones,2025,4,False,7318.71488445,66.96395519999987
Reinversión de utilidades,2006,1,False,4839.45387447,4839.45387447
Reinversión de utilidades,2006,2,False,7371.63371747,2532.179843
Reinversión de utilidades,2006,3,False,7545.03612847,173.40241100000003
Reinversión de utilidades,2006,4,False,8102.91873847,557.8826099999997
Reinversión de utilidades,2007,1,False,5689.46172392,5689.46172392
Reinversión de utilidades,2007,2,False,7873.36495392,2183.90323
Reinversión de utilidades,2007,3,False,8312.70031492,439.3353610000013
Reinversión de utilidades,2007,4,False,8509.97796592,197.2776509999985
Reinversión de utilidades,2008,1,False,5309.34060024,5309.34060024
Reinversión de utilidades,2008,2,False,9218.27625524,3908.935655
Reinversión de utilidades,2008,3,False,9246.30853824,28.03228300000046
Reinversión de utilidades,2008,4,False,9328.88902946,82.58049122000011
Reinversión de utilidades,2009,1,False,1206.61322736,1206.61322736
Reinversión de utilidades,2009,2,False,4323.57700036,3116.963773
Reinversión de utilidades,2009,3,False,5049.68216736,726.1051669999997
Reinversión de utilidades,2009,4,False,5365.22111736,315.5389500000001
Reinversión de utilidades,2010,1,False,2404.76192878,2404.76192878
Reinversión de utilidades,2010,2,False,4590.45369678,2185.6917680000006
Reinversión de utilidades,2010,3,False,4666.22041778,75.76672099999996
Reinversión de utilidades,2010,4,False,5305.81516478,639.5947469999992
Reinversión de utilidades,2011,1,False,5074.18212784,5074.18212784
Reinversión de utilidades,2011,2,False,9315.71770126,4241.53557342
Reinversión de utilidades,2011,3,False,10229.70275326,913.985052
Reinversión de utilidades,2011,4,False,10756.34630375,526.64355049
Reinversión de utilidades,2012,1,False,5652.18195271,5652.18195271
Reinversión de utilidades,2012,2,False,7801.43798455,2149.25603184
Reinversión de utilidades,2012,3,False,8389.5744904,588.1365058500005
Reinversión de utilidades,2012,4,False,10664.13040026,2274.5559098600006
Reinversión de utilidades,2013,1,False,7795.09863713,7795.09863713
Reinversión de utilidades,2013,2,False,11541.82898496,3746.730347830001
Reinversión de utilidades,2013,3,False,13533.06904896,1991.2400639999996
Reinversión de utilidades,2013,4,False,18496.59878832,4963.529739359999
Reinversión de utilidades,2014,1,False,10198.16560588,10198.16560588
Reinversión de utilidades,2014,2,False,16013.32702201,5815.16141613
Reinversión de utilidades,2014,3,False,17240.38345117,1227.0564291600003
Reinversión de utilidades,2014,4,False,18036.72951482,796.3460636499985
Reinversión de utilidades,2015,1,False,7549.21671271,7549.21671271
Reinversión de utilidades,2015,2,False,10563.12719401,3013.9104812999994
Reinversión de utilidades,2015,3,False,11412.42114828,849.2939542700005
Reinversión de utilidades,2015,4,False,11955.44229204,543.0211437599992
Reinversión de utilidades,2016,1,False,7335.22749271,7335.22749271
Reinversión de utilidades,2016,2,False,9678.16607884,2342.9385861300007
Reinversión de utilidades,2016,3,False,10678.07626915,999.91019031
Reinversión de utilidades,2016,4,False,10682.51622727,4.439958119999574
Reinversión de utilidades,2017,1,False,10832.03149885,10832.03149885
Reinversión de utilidades,2017,2,False,12162.86001133,1330.8285124800004
Reinversión de utilidades,2017,3,False,12292.87644499,130.01643366000098
Reinversión de utilidades,2017,4,False,11981.19456306,-311.6818819300006
Reinversión de utilidades,2018,1,False,11453.90976059,11453.90976059
Reinversión de utilidades,2018,2,False,12792.33179858,1338.4220379899998
Reinversión de utilidades,2018,3,False,13171.40209436,379.0702957800004
Reinversión de utilidades,2018,4,False,13312.95873943,141.55664506999892
Reinversión de utilidades,2019,1,False,13743.40666804,13743.40666804
Reinversión de utilidades,2019,2,False,16219.18918492,2475.782516880001
Reinversión de utilidades,2019,3,False,17127.95222144,908.7630365199984
Reinversión de utilidades,2019,4,False,18178.99314984,1051.0409284000016
Reinversión de utilidades,2020,1,False,14479.14840726,14479.14840726
Reinversión de utilidades,2020,2,False,15272.36686673,793.2184594700011
Reinversión de utilidades,2020,3,False,16050.52366009,778.1567933599999
Reinversión de utilidades,2020,4,False,16135.41230032,84.88864022999951
Reinversión de utilidades,2021,1,False,11690.45287299,11690.45287299
Reinversión de utilidades,2021,2,False,12862.21149007,1171.7586170800005
Reinversión de utilidades,2021,3,False,13432.16786466,569.9563745899995
Reinversión de utilidades,2021,4,False,12913.13838795,-519.0294767099986
Reinversión de utilidades,2022,1,False,12582.34936309,12582.34936309
Reinversión de utilidades,2022,2,False,14393.39277422,1811.04341113
Reinversión de utilidades,2022,3,False,15644.82687497,1251.4341007500007
Reinversión de utilidades,2022,4,False,16202.30091021,557.4740352400004
Reinversión de utilidades,2023,1,False,21801.35042052,21801.35042052
Reinversión de utilidades,2023,2,False,25507.73812583,3706.3877053100005
Reinversión de utilidades,2023,3,False,26965.00570168,1457.2675758499972
